marca,model,varianta,an,tip,arhitectura,mass_kg,Cd,Af,P_ICE_max_kW,P_EM_max_kW,bat_energy_kWh,price_EUR,co2_wltp_g_km,consum_wltp_L_100km,eta_th_peak,sursa,estimari
Toyota,Yaris,1.5 Hybrid 116,2024,HEV,serie_paralel,1085,0.29,2.10,68,59,0.76,24500,96,4.2,0.40,Fișă tehnică Toyota 2024,Cd;Af
Toyota,Yaris,1.5 Hybrid 130,2024,HEV,serie_paralel,1125,0.29,2.10,74,62,0.76,27500,101,4.5,0.40,Fișă tehnică Toyota 2024,Cd;Af
Toyota,Yaris Cross,1.5 Hybrid 116 FWD,2024,HEV,serie_paralel,1160,0.31,2.25,68,59,0.76,28500,102,4.5,0.40,Fișă tehnică Toyota 2024,Cd;Af
Toyota,Yaris Cross,1.5 Hybrid 130 AWD-i,2024,HEV,serie_paralel,1245,0.31,2.25,74,62,0.76,33500,112,5.0,0.40,Fișă tehnică Toyota 2024,Cd;Af
Toyota,Corolla,1.8 Hybrid 140 HB,2024,HEV,serie_paralel,1355,0.29,2.22,72,70,0.76,31500,102,4.5,0.41,Fișă tehnică Toyota 2024,Cd;Af
Toyota,Corolla,2.0 Hybrid 196 HB,2024,HEV,serie_paralel,1420,0.29,2.22,112,83,0.76,35500,107,4.7,0.41,Fișă tehnică Toyota 2024,Cd;Af
Toyota,Corolla,1.8 Hybrid 140 Touring Sports,2024,HEV,serie_paralel,1395,0.30,2.24,72,70,0.76,32800,104,4.6,0.41,Fișă tehnică Toyota 2024,Cd;Af
Toyota,Corolla,2.0 Hybrid 196 Touring Sports,2024,HEV,serie_paralel,1460,0.30,2.24,112,83,0.76,36800,109,4.8,0.41,Fișă tehnică Toyota 2024,Cd;Af
Toyota,Corolla Cross,2.0 Hybrid 197 FWD,2024,HEV,serie_paralel,1495,0.32,2.56,112,83,0.76,38500,116,5.1,0.41,Fișă tehnică Toyota 2024,Cd;Af
Toyota,Corolla Cross,2.0 Hybrid 197 AWD-i,2024,HEV,serie_paralel,1560,0.32,2.56,112,83,0.76,41500,122,5.4,0.41,Fișă tehnică Toyota 2024,Cd;Af
Toyota,C-HR,1.8 Hybrid 140,2024,HEV,serie_paralel,1425,0.30,2.31,72,70,0.76,34500,105,4.7,0.41,Fișă tehnică Toyota 2024,Cd;Af
Toyota,C-HR,2.0 Hybrid 198,2024,HEV,serie_paralel,1485,0.30,2.31,112,83,0.76,38900,107,4.8,0.41,Fișă tehnică Toyota 2024,Cd;Af
Toyota,C-HR,2.0 PHEV 223,2024,PHEV,serie_paralel,1645,0.30,2.31,112,120,13.6,43900,19,0.8,0.41,Fișă tehnică Toyota 2024,Cd;Af;co2
Toyota,RAV4,2.5 Hybrid 218 FWD,2024,HEV,serie_paralel,1620,0.32,2.60,131,88,1.06,42500,126,5.6,0.41,Fișă tehnică Toyota 2024,Cd;Af
Toyota,RAV4,2.5 Hybrid 222 AWD-i,2024,HEV,serie_paralel,1690,0.32,2.60,131,88,1.06,45500,131,5.8,0.41,Fișă tehnică Toyota 2024,Cd;Af
Toyota,RAV4,2.5 PHEV 306 AWD-i,2024,PHEV,serie_paralel,1900,0.32,2.60,136,134,18.1,52500,22,1.0,0.41,Fișă tehnică Toyota 2024,Cd;Af;co2
Toyota,Prius,2.0 PHEV 223,2024,PHEV,serie_paralel,1545,0.27,2.23,112,120,13.6,45900,16,0.7,0.41,Fișă tehnică Toyota 2024,Af;co2
Toyota,Camry,2.5 Hybrid 218,2023,HEV,serie_paralel,1595,0.28,2.36,131,88,1.06,43900,120,5.3,0.41,Fișă tehnică Toyota 2023,Cd;Af
Toyota,Highlander,2.5 Hybrid 248 AWD-i,2023,HEV,serie_paralel,2015,0.33,2.94,140,134,1.87,58500,146,6.5,0.41,Fișă tehnică Toyota 2023,Cd;Af
Toyota,Yaris GR SPORT,1.5 Hybrid 130,2024,HEV,serie_paralel,1135,0.29,2.10,74,62,0.76,29500,102,4.5,0.40,Fișă tehnică Toyota 2024,Cd;Af
Lexus,LBX,1.5 Hybrid 136 FWD,2024,HEV,serie_paralel,1280,0.31,2.25,67,69,0.76,36500,107,4.7,0.40,Fișă tehnică Lexus 2024,Cd;Af
Lexus,LBX,1.5 Hybrid 136 AWD,2024,HEV,serie_paralel,1355,0.31,2.25,67,69,0.76,39500,112,5.0,0.40,Fișă tehnică Lexus 2024,Cd;Af
Lexus,UX,250h FWD,2024,HEV,serie_paralel,1540,0.31,2.34,112,80,0.76,43900,112,5.0,0.41,Fișă tehnică Lexus 2024,Cd;Af
Lexus,UX,300h AWD,2024,HEV,serie_paralel,1620,0.31,2.34,112,83,0.76,47900,119,5.3,0.41,Fișă tehnică Lexus 2024,Cd;Af
Lexus,NX,350h AWD,2024,HEV,serie_paralel,1745,0.31,2.65,140,134,1.87,56900,129,5.7,0.41,Fișă tehnică Lexus 2024,Cd;Af
Lexus,NX,450h+ PHEV AWD,2024,PHEV,serie_paralel,1990,0.31,2.65,136,134,18.1,66900,21,0.9,0.41,Fișă tehnică Lexus 2024,Cd;Af;co2
Lexus,RX,350h AWD,2024,HEV,serie_paralel,2035,0.29,2.71,140,134,1.87,79900,140,6.2,0.41,Fișă tehnică Lexus 2024,Cd;Af
Lexus,RX,450h+ PHEV AWD,2024,PHEV,serie_paralel,2160,0.29,2.71,136,134,18.1,86900,25,1.1,0.41,Fișă tehnică Lexus 2024,Cd;Af;co2
Lexus,RX,500h AWD performance,2024,HEV,serie_paralel,2115,0.29,2.71,202,134,1.87,94900,163,7.2,0.40,Fișă tehnică Lexus 2024,Cd;Af
Lexus,ES,300h,2024,HEV,serie_paralel,1680,0.27,2.36,131,88,1.06,54900,119,5.3,0.41,Fișă tehnică Lexus 2024,Cd;Af
Lexus,IS,300h,2023,HEV,serie_paralel,1620,0.28,2.30,131,105,1.06,49900,124,5.5,0.40,Fișă tehnică Lexus 2023,Cd;Af
Lexus,LC,500h,2023,HEV,serie_paralel,1985,0.33,2.35,220,132,1.10,109900,184,8.1,0.39,Fișă tehnică Lexus 2023,Cd;Af
Lexus,LS,500h AWD,2023,HEV,serie_paralel,2270,0.26,2.46,220,132,1.10,129900,178,7.9,0.39,Fișă tehnică Lexus 2023,Cd;Af
Lexus,LM,350h AWD,2024,HEV,serie_paralel,2280,0.32,3.10,140,134,1.87,129000,158,7.0,0.41,Fișă tehnică Lexus 2024,Cd;Af
Renault,Clio,E-Tech full hybrid 145,2024,HEV,serie_paralel,1258,0.30,2.15,69,36,1.2,24500,96,4.2,0.40,Fișă tehnică Renault 2024,Cd;Af
Renault,Captur,E-Tech full hybrid 145,2024,HEV,serie_paralel,1348,0.31,2.27,69,36,1.2,28500,105,4.7,0.40,Fișă tehnică Renault 2024,Cd;Af
Renault,Arkana,E-Tech full hybrid 145,2024,HEV,serie_paralel,1435,0.29,2.33,69,36,1.2,32500,105,4.7,0.40,Fișă tehnică Renault 2024,Cd;Af
Renault,Symbioz,E-Tech full hybrid 145,2024,HEV,serie_paralel,1410,0.30,2.42,69,36,1.2,30500,108,4.8,0.40,Fișă tehnică Renault 2024,Cd;Af
Renault,Austral,E-Tech full hybrid 200,2024,HEV,serie_paralel,1517,0.30,2.56,96,50,1.7,38500,105,4.7,0.41,Fișă tehnică Renault 2024,Cd;Af
Renault,Espace,E-Tech full hybrid 200,2024,HEV,serie_paralel,1587,0.30,2.63,96,50,1.7,43500,111,4.9,0.41,Fișă tehnică Renault 2024,Cd;Af
Renault,Rafale,E-Tech full hybrid 200,2024,HEV,serie_paralel,1613,0.29,2.57,96,50,1.7,45500,112,5.0,0.41,Fișă tehnică Renault 2024,Cd;Af
Renault,Rafale,E-Tech 4x4 300 PHEV,2025,PHEV,serie_paralel,1955,0.29,2.57,110,150,22.0,55500,17,0.8,0.41,Fișă tehnică Renault 2025,Cd;Af;co2
Renault,Megane,E-Tech PHEV 160,2021,PHEV,serie_paralel,1616,0.30,2.30,68,49,9.8,36500,28,1.2,0.40,Fișă tehnică Renault 2021,Cd;Af;co2
Renault,Captur,E-Tech PHEV 160,2021,PHEV,serie_paralel,1564,0.31,2.27,68,49,9.8,34500,32,1.4,0.40,Fișă tehnică Renault 2021,Cd;Af;co2
Dacia,Bigster,Hybrid 155,2025,HEV,serie_paralel,1494,0.32,2.65,80,37,1.4,28590,110,4.9,0.41,Fișă tehnică Dacia 2025 (dacia.ro),Cd;Af
Dacia,Duster,Hybrid 140,2024,HEV,serie_paralel,1394,0.33,2.56,69,36,1.2,25500,114,5.0,0.40,Fișă tehnică Dacia 2024,Cd;Af
Dacia,Jogger,Hybrid 140,2024,HEV,serie_paralel,1394,0.32,2.50,69,36,1.2,24500,112,5.0,0.40,Fișă tehnică Dacia 2024,Cd;Af
Nissan,Qashqai,e-POWER 190,2024,HEV,serie,1665,0.32,2.55,116,140,2.1,38500,117,5.2,0.40,Fișă tehnică Nissan 2024,Cd;Af
Nissan,X-Trail,e-POWER 204 2WD,2024,HEV,serie,1795,0.32,2.66,116,150,2.1,42500,132,5.8,0.40,Fișă tehnică Nissan 2024,Cd;Af
Nissan,X-Trail,e-POWER 213 e-4ORCE,2024,HEV,serie,1910,0.32,2.66,116,157,2.1,46500,143,6.3,0.40,Fișă tehnică Nissan 2024,Cd;Af
Nissan,Juke,Hybrid 143,2024,HEV,serie_paralel,1341,0.32,2.30,69,36,1.2,29500,104,4.6,0.40,Fișă tehnică Nissan 2024,Cd;Af
Honda,Jazz,e:HEV 1.5 122,2024,HEV,serie_paralel,1252,0.30,2.22,72,90,0.80,27500,102,4.5,0.41,Fișă tehnică Honda 2024,Cd;Af
Honda,Jazz Crosstar,e:HEV 1.5 122,2024,HEV,serie_paralel,1280,0.31,2.26,72,90,0.80,29500,110,4.9,0.41,Fișă tehnică Honda 2024,Cd;Af
Honda,Civic,e:HEV 2.0 184,2024,HEV,serie_paralel,1533,0.27,2.32,105,135,1.05,38500,108,4.8,0.41,Fișă tehnică Honda 2024,Cd;Af
